id,source,timestamp,data.status,data.code,data.locale,data.seed,data.total,data.data.id,data.data.street,data.data.streetName,data.data.buildingNumber,data.data.city,data.data.zipcode,data.data.country,data.data.country_code,data.data.latitude,data.data.longitude,data.page,data.results.adult,data.results.backdrop_path,data.results.genre_ids,data.results.id,data.results.original_language,data.results.original_title,data.results.overview,data.results.popularity,data.results.poster_path,data.results.release_date,data.results.title,data.results.video,data.results.vote_average,data.results.vote_count,data.total_pages,data.total_results
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/xyWKrni8WrYzqn7ztvI5nIY0h62.jpg,35|10749,1181678,en,¿Quieres ser mi hijo?,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer.",9.4929,/9GuvODahvuFqdhuZ16aBLR4UJoP.jpg,2023-09-21,¿Quieres ser mi hijo?,false,8.551,306,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/bVggfCvAPnFalIctxgpaCRTF97z.jpg,16|10751|14,129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",31.1032,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,Spirited Away,false,8.533,18127,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/cfT29Im5VDvjE0RpyKOSdCKZal7.jpg,28|80|53,155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",38.846,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,The Dark Knight,false,8.528,35417,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/6N5d02quKqMKqvTpOdFmBDy9scY.jpg,35|18|10749,19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",13.5553,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,1995-10-20,Dilwale Dulhania Le Jayenge,false,8.515,4570,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,14|18|80,497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",26.8504,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,The Green Mile,false,8.504,19019,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,12|14|28,122,en,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",31.8735,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-17,The Lord of the Rings: The Return of the King,false,8.495,26268,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,35|53|18,496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",34.4891,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,false,8.493,20354,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,53|80|35,680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",27.2135,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,1994-09-10,Pulp Fiction,false,8.486,29920,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/8x9iKH8kWA0zdkgNdpAew7OstYe.jpg,16|10749|18,372058,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",34.0439,/q719jXXEzOoYaps6babgKnONONX.jpg,2016-08-26,Your Name.,false,8.477,12393,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg,12|18|878,157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,58.1268,/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,2014-11-05,Interstellar,false,8.469,39266,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,37,429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",18.6573,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-23,"The Good, the Bad and the Ugly",false,8.468,9520,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/67HggiWaP9ZLv5sPYmyRV37yAJM.jpg,35|18|10749,13,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",26.8878,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,1994-06-23,Forrest Gump,false,8.463,29458,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/gILte6Zd7m1YneIr6MVhh30S9pr.jpg,18|80,769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",24.779,/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,1990-09-12,GoodFellas,false,8.452,14168,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,28|18,346,ja,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",17.0832,/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg,1954-04-26,Seven Samurai,false,8.451,4163,538,10744
2,The Movie Database,2026-04-03T20:35:37+00:00,,,,,,,,,,,,,,,,1,false,/aHaqZpOL7UyVu0nKqp3SMz0o2E1.jpg,16|18|10752,12477,ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.014,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,1988-04-16,Grave of the Fireflies,false,8.444,6438,538,10744
